web_scraper_order,web_scraper_start_url,image,data
"1764192017-1","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/Team-SJUSJOEN-Visma-2025-Orange.png","TEAM SJUSJøEN LANGLøP"
"1764192017-2","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/10/ski-team-gohlins-race-suit-scaled.png","SKI TEAM GöHLINS"
"1764192017-3","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/vsc-race-suit-template-4.png","TEAM INTERNORM TRENTINO GSG"
"1764192017-4","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/Team-Aktiv-mot-Kreft_2025-10.png","TEAM AKTIV MOT KREFT"
"1764192017-5","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png","BRUSE SAUERLAND SKI TEAM"
"1764192017-6","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/Danish-Skimarathon-Team-Race-Suit-1.svg","DANISH SKIMARATHON TEAM"
"1764192017-7","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/Team-Kaffebryggeriet-Driv-race-suit.png","TEAM KAFFEBRYGGERIET DRIV"
"1764192017-8","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/SC-Race-Suit_template_2023-06.png","TEAM EMTEC NORDIC"
"1764192017-9","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/10/SC-Race-Suit_Team-Andiamo_2024-09_4x.png","TEAM ANDIAMO FLEISCHER FINANS"
"1764192017-10","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/10/Team-GS8-Race-Suit-new.png","TEAM GS8"
"1764192017-11","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/Team-Rustad-IL-Oslo-Race-Suit.png","TEAM RUSTAD IL OSLO"
"1764192017-12","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/RaceSuit_SkiWillyMarathonTeamAUT.svg","CIBES LIFT SKI-WILLY MARATHON TEAM"
"1764192017-13","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/157-SKI-TEAM_RACE-SUIT_25-26_ANTON-scaled-e1760599184843.png","THE YOUTH TEAM"
"1764192017-14","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/Team-Synnfjell-race-suit-template.png","TEAM SYNNFJELL"
"1764192017-15","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/SC-Race-Suit_template_2023-06-1.png","TEAM FUTURA GTE TRENTINO"
"1764192017-16","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/SC-Race-Suit_Northug.png","TEAM BURGER KING - NORTHUG"
"1764192017-17","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/10/Edux-Race-suit.png","TEAM EDUX"
"1764192017-18","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/NTNUI-SKI-TEAM-Race-suite-picture.jpg","NTNUI SKI TEAM"
"1764192017-19","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/SC-Race-Suit_template_TEAM-BSV-IBEX.png","TEAM BSV IBEX"
"1764192017-20","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2025/11/Team-Sport-1-Lillehammer-Visma-2025-1.png","TEAM SPORT 1 LILLEHAMMER"
"1764192017-21","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/10/TeamNordicExperienceSC25_1756194992-001-scaled.png","TEAM NORDIC EXPéRIENCE/COSTE - FROMAGERIE MARCEL PETITE"
"1764192017-22","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/Race-Suit_Ramudden_new-kopia2.svg","TEAM RAMUDDEN"
"1764192017-23","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/Aukland-Coaching-AS_2024.svg","TEAM RAGDE CHARGE"
"1764192017-24","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/10/vsc-race-suit-template-ITALIA-scaled.jpg","TEAM SLAVIA POJIšťOVNA ROBINSON TRENTINO"
"1764192017-25","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_Engcon_New-4.svg","TEAM ENGCON"
"1764192017-26","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2023/03/VSC-Race-Suit-Template-Team-Aker-Daehlie-2024.svg","TEAM AKER DæHLIE"
"1764192017-27","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_LAGER-157-SKI-TEAM.png","LAGER 157 SKI TEAM"
"1764192017-28","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/11/SC-Race-Suit_template_2023-061.png","ED SYSTEM RSJ TEAM"
"1764192017-29","https://skiclassics.com/pro-teams/","https://skiclassics.com/wp-content/uploads/2024/11/Team-Eksjohus_VSC_template_2024-e1731396346500.png","TEAM EKSJöHUS"
